ID,NumberPhenotypes
0,'0001000000111001101011000111100110011001111111011111010011011111101',2
0,'1101110000110110001111111010000001000011100010111000111010000110010',2
0,'1000010110011001000001001000011000101000011111010100110011011001111',1
0,'1110101100111000101101000100001011010101000000111011011010000110001',1
0,'0101110111101000011000011111100010001100101010010101100100001000110',1
0,'1110000110011100000000111110011001111101010000101111110101100001010',2
0,'1001010111100110001110101011001100100101010010000000110110111101111',2
0,'1001111101110001010111010010100101110100111010000111111110011011001',2
0,'1100011111011011110110110100110110101011110010101000110110100110010',2
0,'1001011011100101011100010000000100101001000011000010011111110111011',2
0,'1110001101100110100101100110000100010100100101011100101001010000001',1
0,'1100101011010100110000111110000101100111001110110101000111100000001',2
0,'1011001011010111011100111000110011110001001110100101010111011010001',2
0,'0110011010010010001111001010011011110000010101110101100011001000011',2
0,'1000100010110001010101000111000011010101100010100011000111101010101',1
0,'1110001101110101111110101110010001110001111010111111001111011011011',2
0,'0111001111000011000101011010101001111110000011101011110101111011001',1
0,'1010111101010000111011111110100110010111111111011000100110111100001',2
0,'1110010111100001010001001010110100110101101001101110101100100110100',2
0,'1010010100111110000010001111110001101111000100011011111110110100000',2
0,'1101001111010101000111100110111110011110111010100101011110100110110',2
0,'1000011100011110111010011001110011011011101011100010100001010010110',2
0,'1000011100000001110001011101011101101001001001001010000110110010110',2
0,'0000100001111111111000101000101110111011101010001111010001000100010',1
0,'0001011100010110111000001101011111000010100110101101000000110101100',1
0,'1110001101100110100101100110100100010100100101011100101001010000000',1
0,'0000111100000110111010101101011111000010100110101101000000110101100',1
0,'0110101010101101001100000001000101111111101011001110100111100100011',2
0,'0101001100011100101101111111000010101010010011100011101010101001100',1
0,'0010011011111000001101100000011010110000010010101011100111001100010',2
0,'0101101110011000001101111111000010101010010011100011101010101001100',1
0,'0110101111110110110101000100111100001000010100101110110010001011100',2
0,'1000100010110001110001000111000011010101000010100011000111101010101',1
0,'0111010110100010000000010100010111101010110000101100010010111111001',1
0,'0001101001001111100110000011111000110101110110100101001111001111111',2
0,'0100000101000101010010010111001101101110100010111011011001111101100',1
0,'1000100111100001100101010001001000100110000001000110001111000101001',1
0,'0000000001110111111000101000100110111010101010001111010001001100010',1
0,'0101110110101000011000011111100010001100101010010101100100001000111',1
0,'1011000110110010001101110001001111011001010000111000110110110011011',2
0,'1110110011100000001110100000011110011100110110110110110000100011110',2
0,'0110000110010000100100010001100000101100111100001011000011010001101',1
0,'1001001110011000011101010110011011011011110111010000001010111100010',2
0,'1010000010011111001111111001001011110010011001011101010011100010001',2
0,'0110001010010000110110101001101011110110111111001111110001011101011',1
0,'1100100010000011000010111000111111101010111000111011000111100110001',1
0,'0001011011101010011010011110111100000011001001001101101011001100001',1
0,'0100101101101100101011011010110000100011101101011001111011111100100',1
0,'1011111101110010011111111001001111111111101111110110000000100011001',2
0,'1111000000110100101011001111010001101100001100111001100111101010111',2
0,'0000000101000101010010010101001101101110100010111011011001111101100',1
0,'0111001111000011000101010010101001111110000001101011110101111011001',1
0,'0001011011101010011010011110111100000011001001001101101011000100001',1
0,'0111111011110100111010010100101111100100111010010101000001110011001',2
0,'1010011101110110111100010000000111011010101010010000011110000001111',2
0,'0000100110011010111011001001010111011101101101010010100111111111000',2
0,'0110001010010000110110101001101011110110101111001111110001011101011',1
0,'0111010110100010000000010100010111101010110000111100010010111111001',1
0,'1110101100111000101101000000001011010001000000111011011010000110001',1
0,'0101011101100100000011000000111110101111111011111100000110110010110',2
0,'1100100010001011000001111000111111101010111000111011000111100110001',1
