ID,NumberPhenotypes
0,'1001001101110000100011110111001100110001000111100001100101110',1
0,'0110000101010000000000011111111110011000100001011001111110010',2
0,'1110100111010100011101100100111111011111011110000011011100100',2
0,'1101100010010001111001001000110101011010101110101001011010101',2
0,'1011000010000101101111010001101001110111010011000111000101111',2
0,'0110010010110010101110111111111111111110011010100111011011001',1
0,'0101000100101000110000100100011100100101010111001111111101100',1
0,'0100010101111011101010001101010110010101000010011111010100100',1
0,'0000010001000101000001111010110011010010010101000010110100001',2
0,'0100010110110000101011011110010100111010000011010011001001010',2
0,'1000010110101000101011111100001010111110010001011111110001100',2
0,'1010100100010001000110101011010011110101100001100111111001110',2
0,'1000111011001011100110110111101011111010110010010011010010011',2
0,'1111001101110010001110110000000111110100001000000011101011000',2
0,'0010011110101001000111001010001101111011100000010101111011011',2
0,'1001101011101110111010000110000000101110011110010101011000011',2
0,'1000111101010111000101110010001110110111111011011100010101000',2
0,'0100011100010111000000111111110000011110011001110111100010010',2
0,'1100001111110000011000000010001100010000011000011100010001001',2
0,'1011010010011100011101001010001001100000100011001111010001110',2
0,'0000011010001011100110100011001101111001110001010100000000100',1
0,'0000011010011011100110100011001101111001110001010110000000100',1
0,'1010010110110010111101111110000111001111101111011011000101011',2
0,'1100001100100100111111010000011001010011101111000011000010110',2
0,'1101111011111011110101011110000001010100010010101000010111111',2
0,'1111001111110111011010100010110101010101111100100111011001110',2
0,'1101111100000101011111101111001100101011011000011010000010100',1
0,'0111101110010001010101010101110011011010000100000011110001110',1
0,'0101100111101010101110011100101110111011011100000000000001010',2
0,'1011110100011111000111000010110000110010111110111000111100001',2
0,'0111101110010001010101010101110011011010000100000000010001110',1
0,'0011111011001000100111100110111110111110010001010101100100001',2
0,'1010011101101111011010111100000011100101110111100001111001111',1
0,'0111000111000100010001101111000110110110110101010011010011001',1
0,'1011011000111001101001001011100100000001111101001010101110110',2
0,'0101000011001111011110010100000111011101101010101101100010001',2
0,'1001001101110000100011110111001100010011000111100001100101110',1
0,'1110000100101000000111010100000011010000001000111101101011100',2
0,'1001101100101010011111010110100101000001111100011100111100101',2
0,'0110111011010001100101101111000100110000100100001011110010010',1
0,'0000110010011111100001010011111101100000000001001100001101010',2
0,'0000011010010000001111111101110011011001000110000010010111111',2
0,'1111100100101111111001011111100000010011001000100101101100101',2
0,'1111010111100000000010011100000000110001000100010001010000010',2
0,'0001010001000110010010010010000111010010100000011101101110101',2
0,'0100011010110101110000001110111010111111000100001111100110000',2
0,'1111101000100011000110111001001100010111001100101111011100101',2
0,'0111000111000100010001100111000110010110110101010011010111001',1
0,'0111010011110111011001111100010100001011101011110010010110101',2
0,'0000001111010000000111101111001111111001001101011100101010111',2
0,'1010011000001010001111000111111000110110001000100011010000010',2
0,'0110011010110010101110101110111111111110001010100111011011010',1
0,'0110110011010001110001101111100100110010100100001011110010010',1
0,'1011010010100101100101110010111000110011010101110001001110101',2
0,'1010011101101111011010110100000011101101110111100001111001111',1
0,'0001010011100100110111100011010100110100101000011110001111011',2
0,'1000100110111011100100000000100111100011101110011100100000100',1
0,'0101000100111000110000110100011100100101010011001011100101100',1
0,'0100110101111011101010101101010110010101000010011111000100100',1
0,'1000100110111011100100000000100111100011101110011100110000100',1
0,'1101011100000101011111101111001100101001011000011011000011110',1

1,'1001001101110000100011110111001100110001000111100001100101110',2
1,'0110000101010000000000011111111110011000100001011001111110010',2
1,'1110100111010100011101100100111111011111011110000011011100100',2
1,'0111000111000100010001101111000110110110110101010011010011001',2
1,'0100011010110101110000001110111010111111000100001111100110000',2
1,'0100010110110000101011011110010100111010000011010011001001010',3
1,'0101000100101000110000100100011100100101010111001111111101100',2
1,'1001001101110000100011110111001100010011000111100001100101110',2
1,'0000010001000101000001111010110011010010010101000010110100001',2
1,'1000010110101000101011111100001010111110010001011111110001100',4
1,'1010100100010001000110101011010011110101100001100111111001110',2
1,'1101011100000101011111101111001100101001011000011011000011110',2
1,'1010010110110010111101111110000111001111101111011011000101011',4
1,'0010011110101001000111001010001101111011100000010101111011011',4
1,'1001101011101110111010000110000000101110011110010101011000011',2
1,'1000111101010111000101110010001110110111111011011100010101000',1
1,'0100011100010111000000111111110000011110011001110111100010010',4
1,'1100001111110000011000000010001100010000011000011100010001001',4
1,'0110110011010001110001101111100100110010100100001011110010010',2
1,'0000011010011011100110100011001101111001110001010110000000100',2
1,'0101100111101010101110011100101110111011011100000000000001010',2
1,'1111001111110111011010100010110101010101111100100111011001110',2
1,'1011010010011100011101001010001001100000100011001111010001110',2
1,'1101111100000101011111101111001100101011011000011010000010100',2
1,'0111101110010001010101010101110011011010000100000011110001110',2
1,'1011110100011111000111000010110000110010111110111000111100001',2
1,'1010011101101111011010111100000011100101110111100001111001111',2
1,'1011011000111001101001001011100100000001111101001010101110110',2
1,'0111010011110111011001111100010100001011101011110010010110101',2
1,'1110000100101000000111010100000011010000001000111101101011100',2
1,'1000111101010111000101110010001100110011111011011100010001010',1
1,'0000110010011111100001010011111101100000000001001100001101010',2
1,'0000011010010000001111111101110011011001000110000010010111111',1
1,'1101100010010001111001001000110101011010101110101001011010101',2
1,'1000100110111011100100000000100111100011101110011100110000100',2
1,'1001101100101010011111010110100101000001111100011100111100101',2
1,'1000111011001011100110110111101011111010110010010011010010011',2
1,'0011111011001000100111100110111110111110010001010101100100001',2
1,'0111000111000100010001100111000110010110110101010011010111001',2
1,'0000001111010000000111101111001111111001001101011100101010111',2
1,'0110011010110010101110101110111111111110001010100111011011010',2
1,'1010011111001111011010110100000011100101110111100000101001111',1
1,'1111100100101111111001011111100000010011001000100101101100101',2
1,'0101000011001111011110010100000111011101101010101101100010001',2
1,'0000011010010010011111111101110011011000000110000010110111111',1
1,'1101111011111011110101011110000001010100010010101000010111111',2
1,'1010011101101111011010110100000011101101110111100001111001111',1
1,'0100110110110010101011011110010100011010000011010011001001010',1

2,'0100010100010111000000111111010000111110010001110110100010010',1
2,'1111000111110111011010100010110101010101111100100011011001110',1
2,'1100001111110000011000000010001100010000011000011100010001001',5
2,'0111000111000100010001101111000110110110110101010011010011001',3
2,'1000100110111011100100000000100111100011101110011100110000100',2
2,'1010010110110010111101011110000111001110101101011011010101010',1
2,'0101000100101000110000100100011100100101010111001111111101100',2
2,'1101100010010001111001001000110101011010101110101001011010101',4
2,'0111101110010001010101010101110011011010000100000011110001110',4
2,'0100010110110000101011011110010100111010000011010011001001010',2
2,'1010011101101111011010110100000011001101110001110001111001111',1
2,'1010100100010001000110101011010011110101100001100111111001110',3
2,'1000010110101000101011111100001010111110010001011111110001100',6
2,'0010011110101001000111001010001101111011100000010101111011011',6
2,'0100011100010111000000111111110000011110011001110111100010010',5
2,'1000111101010111000101110010001110110111111011011100010101000',2
2,'1011010110110010111001111110101111001111100111011011001101011',1
2,'1011010010011100011101001010001001100000100011001111010001110',2
2,'1010010110110010111101111110000111001111101111011011000101011',4
2,'1101111011111011110101011110000001010100010010101000010111111',4
2,'1111001111110111011010100010110101010101111100100111011001110',3
2,'1011110100011111000111000010110000110010111110111000111100001',4
2,'1101011100000101011111101111001100101001011000011011000011110',2
2,'1001001101110000100011110111001100010011000111100001100101110',2
2,'1010011101101111011010111100000011100101110111100001111001111',3
2,'0100011010110101110000001110111010111111000100001111100110000',2
2,'1010011101101111011010011100000011100101110111100001111011111',1
2,'1110000100101000000111010100000011010000001000111101101011100',4
2,'0111000111000100010001101111010110110110110101010011010011001',1
2,'0110000101010000000000011111111110011000100001011001111110010',2
2,'0111000111000100010001100111000110010110110101010011010111001',2
2,'0000001111010000000111101111001111111001001101011100101010111',2
2,'1110100111010100011101100100111111011111011110000011011100100',2
2,'1011110100010001000110101011010011010101110000100111111101110',1
2,'0100110110110010101011011110010100011010000011010011001001010',2
2,'1010011111001111011010110100000011100101110111100000101001111',2
2,'1101001111110000011000000010001100010010011000011100010001001',1
2,'0101000011001111011110010100000111011101101010101101100010001',2
2,'1010011101101111011010110100000011101101110111100001111001111',1
2,'1111100100101111111001011111110000011111001000100101101000101',1
2,'1111100100101111111001011111100000010011001000100101101100101',1

3,'0111000111000100010001101111000110110110110101010011010011001',5
3,'1110000100101000000111010100000011010000001000111101101011100',3
3,'1100001111110000011000000010001100010000011000011100010001001',3
3,'1000010111101000101011111100001010111110010001011111110001100',1
3,'0010011110101001000111001010001101111011100000010101111011011',8
3,'0110000101010000000000111111111110011000100001011001011100010',1
3,'0111101110010001010101010101110011011010000100000011110001110',8
3,'0100010110110000101011011110010100111010000011010011001001010',4
3,'1010100100010001000110101011010011110101100001100111111001110',2
3,'1011110100011111000111000010110000110010111110111000111100001',2
3,'0100011100010111000000111111110000011110011001110111100010010',5
3,'1000111101010111000101110010001110110111111011011100010101000',2
3,'0010011110101101000111001010101101111011110000010111101011011',1
3,'1011010110110010111001111110101111001111100111011011001101011',2
3,'1000010110101000101011111100001010111110010001011111110001100',3
3,'1010010110110010111101111110000111001111101111011011000101011',7
3,'1111001111110111011010100010110101010101111100100111011001110',4
3,'1100001111110000011000100010001100010100011000011100010001001',1
3,'0101000110101000110001100100011100100101010111001011111101100',1
3,'0000001111010000000111101111001111111001001101011100101010111',2
3,'0101000100101000110000100100011100100101010111001111111101100',1
3,'1010011101101111011010011100000011100101110111100001111011111',2
3,'0111000111000100010001100111000110010110110101010011010111001',4
3,'1001001101110000100011110111001100010011000111100001100101110',1
3,'0000010100110111000000011111110000111110011001110111100010010',1
3,'1101011100000101011111101111001100101001011000011011000011110',2
3,'1010010110010010101111011110000111001111101111011011001101011',1
3,'0010001110101001000111001010001100111011100000000101110011011',1
3,'0110000101010000000000011111111110011000100001011001111110010',1
3,'1111000111000100010001101111100110110111110101010001010011001',1
3,'1101100010010001111001001000110101011010101110101001011010101',2
