ID,NumberPhenotypes
0,'011010001110011010110101110101111010',1
0,'111111111111111111111111111111111111',2
0,'011011000111001011011011100110010011',2
0,'101011000000011110100110101110101101',2
0,'100111010111110110000110001111110111',2
0,'100011000010101101010111100101000111',1
0,'101010110100011101110001011111101000',2
0,'110101101011011101011010110010101100',2
0,'111001000100111100111011101111001011',2
0,'110001001001111010110011111111011101',2
0,'101001110011010101111011000110001110',2
0,'101101110100000000101110101011111101',2
0,'101000000001010110100011100010101001',2
0,'010100101011011101000101110111101010',2
0,'000111101010010110111111001100111011',2
0,'111000010110011000110111000011101110',2
0,'100001011000011110011011101110011111',2
0,'101011010110100010000100100110101111',2
0,'100111111101110001000001110001100110',2
0,'011111101010000010110001111011011000',2
0,'100110000001110010100011110010010101',2
0,'111111011100110111011011001001000000',2
0,'001111011111110001100110100010101110',1
0,'110000010000010011001000101101110100',1
0,'110100111001011011001110111110101110',2
0,'010100011010000100001001101001001111',1
0,'111101100101010110011000000010111010',2
0,'101110100011001110101101110110111101',2
0,'100011000110110110100001000110101000',2
0,'010000100010010110100000001011111010',2
0,'001001111100000110010010111100001010',1
0,'110000100110001010010001111010010000',2
0,'111111000101100110101100011111000010',2
0,'100101110100111101011111001011001110',2
0,'100100011100010000011010100101000010',2
0,'100101001001110110001011110000101011',1
0,'100100111111001101110001011000111101',2
0,'010101110110110011101011010111000111',2
0,'100111001001110110001011110000101011',1
0,'101111001011110111111010101100111111',2
0,'010100011010100100001001101001001111',1
0,'110000111110000100111010100000011001',2
0,'001111101111010000111101010001010110',2
0,'111111001111011110011011001111101011',2
0,'001001111100010110010010111100001010',1
0,'000110100111110111100001000010101011',1
0,'111100000100111000010101110010101101',2
0,'110101110110000111001011010010000000',2
0,'100011010000101101010111000101000111',1
0,'100110011111110101100110101100110000',2
0,'110011111100011101010110001100100000',2
0,'111101110001011011100100101001111101',2
0,'111010001110010010110100110100111110',1
0,'100001101001110101101111011001111000',2
0,'000110100111110111100001000010101001',1
0,'001111011011110000100111101100101010',1
0,'111110010100100000010000101000101010',2
0,'110000011000010011001001101100110100',1

1,'100111111101110001000001110001100110',4
1,'111111111111111111111111111111111111',4
1,'100011000110110110100001000110101000',2
1,'111101100101010110011000000010111010',3
1,'100111010111110110000110001111110111',2
1,'111100010100111010010101110010101111',1
1,'100110011111110101100110101100110000',4
1,'110101101011011101011010110010101100',4
1,'111001000100111100111011101111001011',4
1,'110001001001111010110011111111011101',3
1,'111111001111011110011011001111101011',4
1,'010011011000100101000110000101000111',1
1,'101001110011010101111011000110001110',2
1,'101000000001010110100011100010101001',2
1,'100101110100011101011011101011001100',1
1,'100001101001110101101111011001111000',3
1,'111000010110011000110111000011101110',2
1,'110000100110001010010001111010010000',2
1,'100100011100010000011010100101000010',4
1,'101010110100011101110001011111101000',2
1,'100100111101001100111001001000101101',1
1,'111111000001100010000100010110000010',1
1,'100110000011110010100011110010110101',1
1,'110100111001011011001110111110101110',4
1,'011111101010000010110001111011011000',2
1,'110011111100011101010110001100100000',2
1,'100111001001110110001011110000101011',2
1,'001001111100000110010010111100001010',2
1,'111111100011110110011000000010111110',1
1,'111010001110010010110100110100111110',2
1,'111111000101100110101100011111000010',3
1,'100101110100111101011111001011001110',3
1,'101110100011001110101101110110111101',2
1,'100100111111001101110001011000111101',3
1,'101000000001010110110011100010101011',1
1,'101111001011110111111010101100111111',2
1,'110000111110000100111010100000011001',2
1,'111111011100110111011011001001000000',2
1,'110001001001111010110011110111011101',1
1,'100110000001110010100011110010010101',1
1,'100001101010110100101111111001101000',1
1,'111100000100111000010101110010101101',1
1,'100011010000101101010111000101000111',1
1,'111101110001011011100100101001111101',2
1,'110101110110000111001011010010000000',2
1,'101100001001110110100111100011101001',1

2,'100111111101110001000001110001100110',8
2,'111111111111111111111111111111111111',7
2,'110000111110000100111010100000011001',2
2,'111101100101010110011000000010111010',4
2,'100111010111110110000110001111110111',2
2,'111100010100111010010101110010101111',1
2,'111101100101010110011000100010111010',1
2,'110001001001111010110011111111011101',5
2,'110100111001011011001110111110101110',7
2,'111111001111011110011011001111101011',8
2,'101001110011010101111011000110001110',2
2,'101000000001010110100011100010101001',2
2,'111101100101011101011100000010111010',1
2,'111111011100110111011011001001000000',2
2,'111000010110011000110111000011101110',3
2,'100110011111110101100110101100110000',4
2,'111111001101100100001100111111010010',1
2,'100100111101001100111001001000101101',2
2,'111111000001100010000100010110000010',1
2,'110101101011011101011010110010101100',3
2,'111111000101100110101100011111000010',4
2,'111101110001011011100100101001111101',4
2,'100101110100111101011111001011001110',2
2,'111111100011110110011000000010111110',2
2,'110100111001111011111111111110110110',1
2,'100100111111001101110001011000111101',2
2,'111110101011001100101101110111111101',1
2,'111100110010011000100101110010101111',1
2,'111001000100111100111011101111001011',2
2,'101100001001110110100111100011101001',2
2,'110101001111011101011010010010101100',1
2,'110110000101100110001100011111110010',1
2,'111111000001100010100100110110000010',1
2,'110011111100011101010110001100100000',2
2,'110101110110000111001011011010000000',1
2,'111000010110011000111111000011101110',1
2,'110101110110000111001011010010000000',1
2,'100001101001110101101111011001111000',2
2,'101110100011001110101101110110111101',1
2,'111101111111111111110111111111111110',1
2,'010101101101101010110001111111001001',1

3,'111110101011001100101101110111111101',2
3,'111111111111111111111111111111111111',13
3,'110100111001011011001110111110100110',1
3,'111101100101010110011000000010111010',6
3,'111101110001011011100100101001111101',7
3,'111111011100110111011011001001000000',4
3,'111101100101010110011000100010111010',2
3,'011111000101100110101100011111000010',1
3,'110100111001011011001110111110101110',6
3,'110001001001111010110011111111011101',8
3,'111111001111011110011011001111101011',13
3,'110100111001111011111111111110110110',2
3,'111101010001101001100100001001111101',1
3,'111111100011110110011000000010111110',2
3,'100111111101110001000001110001100110',5
3,'110100111001010011001100111111101110',1
3,'100110011111110101100110101100110000',6
3,'111111000001100010000100010110000010',2
3,'111111000101100110101100011111000010',5
3,'101000000001010110100011100010101001',2
3,'110101001111011101011010010010101100',2
3,'110110000101100110001100011111110010',2
3,'111111000001100010100100110110000010',1
3,'111101111111111111110111111111111110',2
3,'110111110101110001000000111001100110',1
3,'111111010111100101111111111111111111',1
3,'111111000111011110011011001111101011',1
3,'111111010001100000101100110110000011',1

4,'111110101011001100101101110111111101',1
4,'111111111111111111111111111111111111',23
4,'110100111001011011001110111110101110',7
4,'111101100101010110011000000010111010',6
4,'111111111111110111111111111110111101',1
4,'111111001111011110011011001111101011',18
4,'111101111111111111110111111111111110',4
4,'111101110001011011100100101001111101',4
4,'110001001001111010110011111111011101',5
4,'110100111001111011111111111110110110',2
4,'111111010111100101111111111111111111',2
4,'111101010001101001100100001001111101',2
4,'110100111001010011001100111111101110',1
4,'111111000001100010000100010110000010',2
4,'111111000101100110101100011111000010',7
4,'111101100101010110011000100010111010',2
4,'110001001001111011110010011101111101',1
4,'100110011111110101100110101100110000',2
4,'111111111111111111111111110011011111',1
4,'110100110001111010001110101110101100',1
4,'110100111000010011001100101101111010',1
4,'111111000101110110101100011011000110',1
4,'111110101011001100101101110111110101',1
4,'111111000111011110011011001111101011',2
4,'111111110111111111101111111111111011',1
4,'111111001111011110011010001101111011',1
4,'111111001111011110011011001111111011',1

5,'111110101011001100101101110111111101',2
5,'111111111111111111111111111111111111',38
5,'111111000101110110101100011011000110',2
5,'111101100101010110011000000010111010',3
5,'111111111111110111111111111110111101',1
5,'111111001111011110011011001111101011',16
5,'111101111111111111110111111111111110',4
5,'111101110001011011100100101001111101',2
5,'110001001001111010110011111111011101',2
5,'111111010111100101111111111111111111',4
5,'111111110111111111101111111111111011',2
5,'110100111001010011001100111111101110',2
5,'111111000101100110101100011111000010',9
5,'111101100101010110101000000010111010',1
5,'111111000100100110101100011111100010',1
5,'111110111001111010111111111111111101',1
5,'111101100101010110011000100010111010',2
5,'011111001111011110011001011111111011',1
5,'011110100111111111110111111111111111',1
5,'111111000111011110011011001111101011',3
5,'111100010111011010010011101101101011',1
5,'001111011100000111101111111110111101',1
5,'111111001111011110011011001111111011',1
